index,target,tags,irrelevant_tags
0,85,beak | bird | duck | flap | flight | fly | lake | landing | sea | penguin | seabird | spread | stretch | water | wing,
1,766,black | city street | couple | curb | meter | night | parking meter | road,
2,12,bridge | highway | plank | road | sky | stretch,
3,40,beak | bird | perch | pole | post | stone | sit | stand | stump | white,
4,216,boat | coach | cart | cruise ship | draw | horse | horse cart | person | sea | palm tree | pull | ride | road | wagon,
5,57,automobile model | car | curb | driveway | path | license plate | minivan | park | red | sedan | suv | vehicle,
6,120,beak | bird | brown | fence | perch | pole | post | sit | sparrow | stand | stump | telegraph pole,
7,177,beak | bird | branch | brown | limb | perch | sit | tree | tree branch,
8,5,desert | desert road | trench | drive | jeep | ledge | man | park | pick up | road | road sign | stone | sign | street sign | truck | van | vehicle | white,
9,44,car | frame | sedan | silver | sports car | white,
10,569,building | coach | cart | couple | draw | horse | image | photo | picture | pull | road | stand | street corner | street scene | town | wagon,
11,183,auto show | car | display | gun | person | machine gun | man | model | stand | suv | vehicle | woman,
12,141,car | gray | minivan | park | rural | silver | suv,
13,61,bird | building | car | crowded | footstall | gull | ledge | license plate | park | peak | perch | rail | sit | stand | white,
14,179,bird | branch | canary | limb | perch | sit | stem | stick | tree branch | twig | yellow,
15,171,beak | bird | branch | canary | gray | limb | perch | sit | tree | tree branch | twig | yellow,
16,57,car | parking lot | license plate | minivan | park | parking | sedan | suv | vehicle,
17,0,car | curb | jeep | license plate | park | road | suv | tire | vehicle,
18,1019,building | pillar | light | illuminate | lamp post | night | night view | pole | red | stop sign | street corner | street light | street sign | traffic sign,
19,9,car | pillar | fill | fuel | gas | gas station | pump,
20,122,car | curb | license plate | park | sedan | white,
21,192,bird | bird feeder | brown | food | hang | nut | peanut | perch | pole | stand,
22,87,beak | bird | pillar | flap | flight | fly | lamp post | pole | post | sky | spread | wing | yellow,
23,87,back | car | license plate | minivan | van | vehicle | white,
24,77,beak | bird | blue | brown | perch | pole | power line | sit | sky | stand | white | wire,
25,58,beach | car | coast | convertible | coupe | headlight | muscle car | sea | park | red | shoreline | stripe | sports car,
26,36,building | car | parking lot | city | license plate | minivan | office building | park | sedan | skyscraper | suv | urban | vehicle,
27,11,beak | bird | black | blackbird | branch | brush | grass | perch | reed | sit | stand | stem | swamp | twig | vegetation | weed | yellow,
28,569,brown | pony | field | floor | horse | grass | grassy | green | lay | lush | relax | stand,
29,88,beak | bird | black | calm | duck | float | lake | pond | ripple | stone | swim | water | white,
30,137,beak | bird | blue | flap | perch | pole | post | rail | sit | stand | swallow | telegraph pole | white | wing,
31,2,boat | paddle | calm | rowboat | canoe | horizon | person | lake | sea | sky | sun | sunset | vessel | water,
32,766,building | meter | palm tree | parking meter | reflection | trim | window | window frame,
33,19,automobile model | blue | car | coupe | license plate | model | model car | sedan | dot,
34,1026,boy | carrot | crowd | crowded | elephant | feed | food | person | lick | man | mouth | pet | stand | stool | treat,
35,569,attach | building | coach | cart | draw | horse | horse cart | person | man | plaza | pull | ride | stone building,
36,569,castle | fence | field | horse | path | grass | grassy | green | lush | ruins | stand | walk,
37,147,car | parking lot | jeep | license plate | park | parking | suv | vehicle,
38,41,beak | bird | branch | flap | flight | fly | perch | red | sky | tail | tree | tree branch | twig | wing,
39,943,animal | car | couple | grass | grassy | green | lamb | lush | park | road | sheep | stand | walk,
40,5,army | black | dirt road | dirt track | trench | formation | gun | line | man | photo | rifle | soldier | tank | troop | walk,
41,122,beak | bird | blade | branch | brown | grass | green | perch | reed | sit | sparrow | stand | stem | twig | yellow,
42,28,bird | black | cloudy | crow | flight | fly | gray | raven | sky | spread | wing,
43,134,beak | bird | bird feeder | bird house | bird nest | nest | perch | sit | woodpecker,
44,45,blue | car | concept car | miniature | model | model car | sedan | sports car | toy car,
45,0,beak | bird | brown | calm | duck | float | goose | sea | pelican | seabird | swim | water | water bird,
46,165,beak | bird | branch | gray | limb | perch | sit | tree | tree branch | twig | yellow,
47,2,mollymawk | bird | cloudy | flight | fly | gull | sea | seabird | sky | wing,
48,2,swimwear | beach | child | coast | girl | sea | play | run | sand | shoreline | walk | water,
49,51,bird | black | blue | brown | calm | duck | float | lake | mallard | mallard duck | pond | reflection | ripple | swim | water,
50,80,brown | bull | cattle | cow | field | grass | herd | lush | stand | stare | tree | white,
51,7,cross | crosswalk | person | man | night | night view | photo | road | shirt | skateboarder | stand | street corner | walk,
52,21,black | car | license plate | sedan | silver,
53,199,beak | bird | branch | brown | green | limb | perch | sit | tree | tree branch | twig | yellow,
54,54,automobile model | car | convertible | curb | house exterior | park | road | sports car | yellow,
55,143,beak | bird | fish | flap | fly | food | gull | landing | sea | seabird | spread | water | white | wing,
56,72,bird | blue | blue jay | branch | gray | jay | limb | perch | sit | stand | tree | tree branch | twig | white,
57,29,automobile model | blue | car | parking lot | curb | hose | license plate | minivan | park | rim | sedan | silver | suv | tire | vehicle | wheel,
58,15,beak | bird | blue | floor | food | grass | green | parrot | patch | red | stone | sit | stand,
59,80,animal | bull | bulletin board | cattle | cow | person | man | moped | motorbike | motorcycle | poster | ride | road | scooter | stand | street scene,
60,90,building | car | parking lot | gray | park | plectrum | pick up | rain | truck,
61,319,arena | back | brown | cowboy | cowboy hat | dirt track | horse | hat | horseback | jockey | man | pink | ride | rodeo | shirt | sun hat | wear | woman,
62,11,automobile model | car | coast | convertible | drive | highway | license plate | sea | road | sports car | travel | yellow,
63,130,advertisement | car | flyer | minivan | suv | vehicle,
0,3,blanket | driveway | garage | garage door | home | house | house exterior | lawn | tarp | white | yard,
1,1112,building | car | city street | drive | intersection | park | road | street corner | street scene | urban,
2,57,car | parking lot | license plate | minivan | park | parking | sedan | suv | vehicle,
3,1112,boy | doodle | flip | fly | jump | person | man | ramp | skate park | skateboard | skateboarder | stunt | trick,
4,943,animal | trumpet | dry | enclosure | fence | floor | goat | grass | hay | head | herd | lamb | nose | pen | ram | shear | sheep | stand | stare | straw,
5,6,building | car | city | city street | city view | cloudy | crowded | road | sign | sky | street scene | street sign | urban,
6,7,bike lane | city street | cone | mark | ride | road | road sign | sign | street sign | traffic cone | traffic sign,
7,176,black | car | drive | highway | license plate | limo | mountain path | road | sedan | travel,
8,158,car | gray | license plate | minivan | park | silver | suv | van | vehicle,
9,80,brown | cattle | cow | eat | evergreen | field | grass | grassy | graze | green | herd | hillside | lush | mountain | pasture | pine | stand | valley,
10,66,car | parking lot | curb | license plate | palm tree | park | parking | parking meter | pavement | sedan | silver | vehicle,
11,11,alley | building | dark | person | night | night view | pavement | road | umbrella | walk,
