Dataset,Method,Seed,Best Epoch,Accuracy Official Set,Accuracy Generated Set
jigsaw_toxic_comments,erm,seed_3,12,94.66291809082031,73.33333587646484
jigsaw_toxic_comments,erm,seed_5,16,94.59269714355469,73.93939208984375
jigsaw_toxic_comments,erm,seed_2,7,94.73314666748047,73.03030395507812
jigsaw_toxic_comments,erm,seed_1,12,94.66291809082031,73.33333587646484
jigsaw_toxic_comments,erm,seed_4,11,94.4522476196289,73.93939208984375
jigsaw_toxic_comments,erm,seed_0,20,94.66291809082031,73.63636016845703
jigsaw_toxic_comments,debian,seed_3,33,94.8033676147461,82.1212158203125
jigsaw_toxic_comments,debian,seed_5,34,94.87359619140625,81.21212005615234
jigsaw_toxic_comments,debian,seed_2,34,94.87359619140625,81.21212005615234
jigsaw_toxic_comments,debian,seed_1,16,94.52246856689453,80.90908813476562
jigsaw_toxic_comments,debian,seed_4,6,94.73314666748047,81.51515197753906
jigsaw_toxic_comments,debian,seed_0,7,94.73314666748047,82.7272720336914
jigsaw_toxic_comments,jtt,seed_3,4,73.244384765625,82.1212158203125
jigsaw_toxic_comments,jtt,seed_2,195,70.9971923828125,81.51515197753906
jigsaw_toxic_comments,jtt,seed_1,17,73.31460571289062,79.69696807861328
jigsaw_toxic_comments,jtt,seed_4,95,71.27809143066406,81.81818389892578
jigsaw_toxic_comments,jtt,seed_0,173,73.4550552368164,78.78787994384766
jigsaw_toxic_comments,lff,seed_3,8,95.01404571533203,81.51515197753906
jigsaw_toxic_comments,lff,seed_2,7,94.4522476196289,82.42424011230469
jigsaw_toxic_comments,lff,seed_1,9,94.73314666748047,82.1212158203125
jigsaw_toxic_comments,lff,seed_4,38,94.73314666748047,80.90908813476562
jigsaw_toxic_comments,lff,seed_0,30,94.66291809082031,81.81818389892578
jigsaw_toxic_comments,sd,seed_3,137,94.66291809082031,72.42424011230469
jigsaw_toxic_comments,sd,seed_2,15,94.52246856689453,72.7272720336914
jigsaw_toxic_comments,sd,seed_1,7,94.8033676147461,72.7272720336914
jigsaw_toxic_comments,sd,seed_4,20,94.87359619140625,73.03030395507812
jigsaw_toxic_comments,sd,seed_0,16,94.8033676147461,73.33333587646484
jigsaw_toxic_comments,di,seed_3,15,93.9606704711914,72.1212158203125
jigsaw_toxic_comments,di,seed_2,35,93.9606704711914,75.45454406738281
jigsaw_toxic_comments,di,seed_1,43,93.89044952392578,75.1515121459961
jigsaw_toxic_comments,di,seed_4,63,94.03089904785156,74.24242401123047
jigsaw_toxic_comments,di,seed_0,60,93.75,74.24242401123047
jigsaw_toxic_comments,badd,seed_3,70,87.14888000488281,96.06060791015625
jigsaw_toxic_comments,badd,seed_2,37,88.83426666259766,94.54545593261719
jigsaw_toxic_comments,badd,seed_1,71,89.46629333496094,94.54545593261719
jigsaw_toxic_comments,badd,seed_4,52,87.07865142822266,96.66666412353516
jigsaw_toxic_comments,badd,seed_0,52,88.69381713867188,95.75757598876953
jigsaw_toxic_comments,flac,seed_3,120,86.58708190917969,94.24242401123047
jigsaw_toxic_comments,flac,seed_2,120,87.07865142822266,92.7272720336914
jigsaw_toxic_comments,flac,seed_1,37,82.51404571533203,99.39393615722656
jigsaw_toxic_comments,flac,seed_4,137,85.11235809326172,96.36363983154297
jigsaw_toxic_comments,flac,seed_0,140,87.07865142822266,96.36363983154297
jigsaw_toxic_comments,bb,seed_3,15,74.08708190917969,14.545454978942871
jigsaw_toxic_comments,bb,seed_2,43,75.63201904296875,12.727272987365723
jigsaw_toxic_comments,bb,seed_1,51,76.68539428710938,14.242424011230469
jigsaw_toxic_comments,bb,seed_4,23,75.35111999511719,13.636363983154297
jigsaw_toxic_comments,bb,seed_0,16,75.91291809082031,14.848484992980957
jigsaw_toxic_comments,end,seed_3,7,94.8033676147461,80.90908813476562
jigsaw_toxic_comments,end,seed_2,24,94.94381713867188,80.90908813476562
jigsaw_toxic_comments,end,seed_1,38,95.22471618652344,82.1212158203125
jigsaw_toxic_comments,end,seed_4,55,94.8033676147461,82.42424011230469
jigsaw_toxic_comments,end,seed_0,16,94.73314666748047,81.51515197753906
jigsaw_toxic_comments,groupdro,seed_3,38,90.87078857421875,93.63636016845703
jigsaw_toxic_comments,groupdro,seed_2,17,92.55618286132812,92.42424011230469
jigsaw_toxic_comments,groupdro,seed_1,5,90.73033905029297,94.54545593261719
jigsaw_toxic_comments,groupdro,seed_4,3,88.5533676147461,98.18181610107422
jigsaw_toxic_comments,groupdro,seed_0,31,92.41573333740234,91.21212005615234
jigsaw_toxic_comments,maviasb,seed_3,12,90.8005599975586,93.93939208984375
jigsaw_toxic_comments,maviasb,seed_2,42,90.23876190185547,93.33333587646484
jigsaw_toxic_comments,maviasb,seed_1,7,90.02809143066406,95.45454406738281
jigsaw_toxic_comments,maviasb,seed_4,24,88.97471618652344,94.54545593261719
jigsaw_toxic_comments,maviasb,seed_0,5,90.37921142578125,92.7272720336914
bias_in_bios,erm,seed_1,33,69.9999988079071,26.899999380111694
bias_in_bios,erm,seed_0,32,69.40000057220459,23.899999260902405
bias_in_bios,debian,seed_3,13,67.59999990463257,25.40000081062317
bias_in_bios,debian,seed_2,12,68.00000071525574,28.40000092983246
bias_in_bios,debian,seed_1,13,67.59999990463257,25.40000081062317
bias_in_bios,debian,seed_4,8,68.19999814033508,23.899999260902405
bias_in_bios,debian,seed_0,8,68.00000071525574,25.40000081062317
bias_in_bios,jtt,seed_3,26,44.49999928474426,15.399999916553497
bias_in_bios,jtt,seed_2,1,46.59999907016754,12.300000339746475
bias_in_bios,jtt,seed_1,13,45.500001311302185,24.60000067949295
bias_in_bios,jtt,seed_0,33,44.200000166893005,23.100000619888306
bias_in_bios,lff,seed_3,16,69.49999928474426,26.899999380111694
bias_in_bios,lff,seed_2,10,69.30000185966492,22.40000069141388
bias_in_bios,lff,seed_1,12,69.0999984741211,29.899999499320984
bias_in_bios,lff,seed_4,10,69.70000267028809,33.30000042915344
bias_in_bios,lff,seed_0,25,69.49999928474426,26.899999380111694
bias_in_bios,sd,seed_3,25,68.00000071525574,19.40000057220459
bias_in_bios,sd,seed_2,33,68.19999814033508,17.900000512599945
bias_in_bios,sd,seed_1,56,66.60000085830688,23.899999260902405
bias_in_bios,sd,seed_4,23,68.4000015258789,16.4000004529953
bias_in_bios,sd,seed_0,15,68.30000281333923,17.900000512599945
bias_in_bios,di,seed_3,24,68.99999976158142,25.40000081062317
bias_in_bios,di,seed_2,11,69.80000138282776,31.299999356269836
bias_in_bios,di,seed_1,9,68.50000023841858,34.299999475479126
bias_in_bios,di,seed_0,11,69.30000185966492,34.299999475479126
bias_in_bios,badd,seed_3,16,69.30000185966492,42.899999022483826
bias_in_bios,badd,seed_2,8,70.89999914169312,44.600000977516174
bias_in_bios,badd,seed_1,13,70.09999752044678,44.40000057220459
bias_in_bios,badd,seed_4,7,70.3000009059906,42.69999861717224
bias_in_bios,badd,seed_0,8,69.80000138282776,41.10000133514404
bias_in_bios,flac,seed_3,15,67.5000011920929,26.899999380111694
bias_in_bios,flac,seed_2,10,69.40000057220459,26.899999380111694
bias_in_bios,flac,seed_1,16,68.00000071525574,32.8000009059906
bias_in_bios,flac,seed_4,12,68.69999766349792,28.40000092983246
bias_in_bios,flac,seed_0,10,67.79999732971191,34.299999475479126
bias_in_bios,bb,seed_3,16,66.50000214576721,0.0
bias_in_bios,bb,seed_2,30,66.29999876022339,0.0
bias_in_bios,bb,seed_1,30,65.89999794960022,0.0
bias_in_bios,bb,seed_4,20,65.89999794960022,0.0
bias_in_bios,bb,seed_0,16,66.10000133514404,0.0
bias_in_bios,end,seed_3,17,69.80000138282776,26.899999380111694
bias_in_bios,end,seed_2,11,69.40000057220459,22.40000069141388
bias_in_bios,end,seed_0,14,69.59999799728394,25.40000081062317
bias_in_bios,groupdro,seed_3,1,72.60000109672546,53.60000133514404
bias_in_bios,groupdro,seed_2,1,72.39999771118164,55.19999861717224
bias_in_bios,groupdro,seed_1,1,71.49999737739563,54.60000038146973
bias_in_bios,groupdro,seed_4,3,73.29999804496765,46.39999866485596
bias_in_bios,groupdro,seed_0,2,73.29999804496765,52.49999761581421
bias_in_bios,maviasb,seed_3,5,74.00000095367432,47.200000286102295
bias_in_bios,maviasb,seed_2,8,73.60000014305115,46.59999907016754
bias_in_bios,maviasb,seed_1,4,73.7999975681305,47.49999940395355
bias_in_bios,maviasb,seed_4,6,74.00000095367432,46.50000035762787
bias_in_bios,maviasb,seed_0,9,73.4000027179718,46.00000083446503
speech_accent_archive,erm,seed_3,42,84.60000157356262,80.40000200271606
speech_accent_archive,erm,seed_5,15,85.6000006198883,80.40000200271606
speech_accent_archive,erm,seed_2,45,84.3999981880188,77.7999997138977
speech_accent_archive,erm,seed_1,45,84.3999981880188,77.7999997138977
