index,target,tags,relevant_tags,irrelevant_tags
0,0,house | car | street sign | grass | tree | power lines,car,house | street sign | grass | tree | power lines
1,0,car | convertible | white | road | driveway | house | garage | fire hydrant | red | stone | path | sidewalk | leaves | grass | trees | shrubs | bushes,car | convertible | white | red,road | driveway | house | garage | fire hydrant | stone | path | sidewalk | leaves | grass | trees | shrubs | bushes
2,0,house | garage | red sports car | stop sign | traffic light | palm tree,red sports car,house | garage | stop sign | traffic light | palm tree
3,0,white car | white,white car | white,
4,0,stop sign | car | house | brick | stop,car,stop sign | house | brick | stop
5,0,bmw | car | gray | house | yellow | stop sign | street | driveway | grass | tree | sky | clouds | sunny | daytime | outdoor | residential | urban | natural | home | street sign | traffic light,bmw | car | gray | yellow,house | stop sign | street | driveway | grass | tree | sky | clouds | sunny | daytime | outdoor | residential | urban | natural | home | street sign | traffic light
6,0,house | car | garage | driveway | grass | sidewalk | brick house | blue car | beetle | license plate | tag | front door | garage door | parking meter | parking meter box | parking meter slot | parking meter coin slot | parking meter coin slot cover,car | blue car | beetle | license plate,house | garage | driveway | grass | sidewalk | brick house | tag | garage door | parking meter
7,0,stop sign | blue car | stop,blue car,stop sign | stop
8,0,car | fire hydrant | house | palm tree | garage | door | window | fire hyd,car | door | window,fire hydrant | house | palm tree | garage
9,0,car | silver | parked | garage | house | brick | two-story | white | windows | glass | garage door | open | car parked in garage | car parked in driveway | car parked in front of house | car parked in front of garage | car parked in front of building | car parked in,car | silver | parked | white | windows | glass,garage | house | brick | garage door | open
10,0,car | white | sedan | parked | on street | in front of store | on sidewalk | in front of fire hydrant | in front of building | on street corner | in front of business | in front,car | white | sedan | parked,on street | in front of building
11,0,gas station | car | fire hydrant | 211 | 239 | 2,car,gas station | fire hydrant
12,0,stop sign | car | garage | shed | stop sign pole | stop sign post | stop sign base | stop sign sign | stop sign signboard | stop sign signboard post | stop sign signboard base | stop sign signboard pole,car,stop sign | garage | stop sign pole | stop sign post | stop sign sign | stop sign signboard
13,0,car | black | convertible | parked | driveway | house | tree | green | blue | yellow | pedestrian | white | red,car | black | convertible | parked | green | blue | yellow | white | red,driveway | house | tree | pedestrian
14,0,stop sign | white car | brick building | stone wall | grass | stop sign pole | brick house | stone house | white car parked | stop sign on pole | brick house with windows | white car parked in front of brick house | stop sign on pole in front of brick house | stop sign on pole in front of,white car,stop sign | brick building | stone wall | grass | stop sign pole | brick house | stop sign on pole
15,0,car | traffic light | city | water | sky | tree | building | red,car | red,traffic light | city | water | sky | tree | building
16,0,stop sign | car | blue car | stop sign on pole | stop sign on pole in front of car | stop sign on pole in front of blue car | stop sign on pole in front of blue car in front of building | stop sign on pole in front of blue car in front of building at night | stop sign on pole in front of blue car in front of building at night in city | stop sign on pole in front of blue car in front of building at night in city at night | stop sign on pole in front of blue car in front of building at night in city at night with tall buildings | stop sign on pole in front of blue car in front of building at night in city at night with tall buildings at night | stop sign on pole in front of blue car in front of building at night in city at night with tall buildings at night with tall buildings,car | blue car,stop sign | stop sign on pole
17,0,stop sign | white car | audi | stop climate change | stop sign with car | stop sign with car and stop climate change | stop sign with car and stop climate change on it | stop sign with car and stop climate change on it in the background | stop sign with car and stop climate change on it in the background with a stop sign in the foreground | stop sign with car and stop climate change on it in the background with a stop sign in the foreground and a stop sign in the background | stop sign with car and stop climate change on,white car,stop sign | audi
18,0,car | white | volvo | suv | parked | brick wall | street light | green | traffic light | stop | red | yellow | brick | wall | snow | sidewalk | tree | house | window,car | white | suv | parked | green | red | yellow | window,volvo | brick wall | street light | traffic light | stop | brick | wall | snow | sidewalk | tree | house
19,0,house | car | trash can | driveway | sidewalk | grass | trees | brick | stone | concrete | gravel | dirt | cement | asphalt | drive,car,house | trash can | driveway | sidewalk | grass | trees | brick | stone | concrete | gravel | dirt | cement | asphalt | drive
20,0,brick | fire hydrant | car | red | bmw | house | door | window | bush,car | red | bmw | door | window,brick | fire hydrant | house | bush
21,0,house | car | garage | brick | window | door | driveway | street | sky | clouds | drive,car | window | door,house | garage | brick | driveway | street | sky | clouds | drive
22,0,house | car | pizza | sign,car,house | sign
23,0,city | street | traffic light | orange car | building | skyscraper | mets life | sign | street sign | directional sign | tree | leaves | traffic sign,,city | street | traffic light | building | skyscraper | sign | street sign | tree | leaves | traffic sign
24,0,bmw | convertible | house | garage | mailbox | driveway | grass | sidewalk | street | home | garage door | car | license plate,bmw | convertible | car | license plate,house | garage | mailbox | driveway | grass | sidewalk | street | home | garage door
25,0,toyota | corolla | compact car | silver | parked | on road | in woods | nighttime | black and white photo | blue arrow sign | pointing right | road sign | directional | pointing to the right | blue arrow | on a sign | pointing to,toyota | silver | parked,on road | in woods | nighttime | black and white photo | road sign
26,0,toy car | blue | toy | sports car | convertible | toy sports car | toy convertible | to,toy car | blue | toy | sports car | convertible,
27,0,stop sign | white car | house | tree | grass | fence | stop sign pole,white car,stop sign | house | tree | grass | fence | stop sign pole
28,0,car | tesla | electric | white | parked | street | lamp | street light | black | green | neon | light | street corner | building | door | window | brick | stone | archway | alley | path | road | sidewalk | lamp post | street lamp | light pole,car | white | parked | black | green | door | window,street | lamp | street light | light | building | brick | stone | archway | alley | path | road | sidewalk | lamp post
29,0,stop sign | car | house | mountain | red | white | black | silver | mini cooper | stop sign with pedestrian | stop sign with pedestrian and car | stop sign with pedestrian and car on top of house | stop sign with pedestrian and car on top of house with mountain in background | stop sign with pedestrian and car on top of house with mountain in background and red roof | stop sign with pedestrian and car on top of house with mountain in background and red roof and silver car | stop sign with pedestrian and car on top of house with mountain in background and red roof and silver car and red roof,car | red | white | black | silver | mini cooper,stop sign | house | mountain
30,0,house | car | stairs | balcony | window | door | tree | grass | brick | concrete | red | white | black | silver | gold | gray | brown,car | window | door | red | white | black | silver | gold | gray | brown,house | stairs | balcony | tree | grass | brick | concrete
31,0,garage | car | house | door | flag | pole | palm tree | hat,car | door,garage | house | pole | palm tree | hat
32,0,car | black | sedan | audi | license plate | 4l838 | parked | dirt road | forest | trees | green | grass | yellow | traffic light | red | stop sign,car | black | sedan | license plate | parked | green | yellow | red,audi | dirt road | forest | trees | grass | traffic light | stop sign
33,0,car | blue | sedan | parked | street | alley | brick | building | red | sign | traffic light | green | street light | black | alleyway | wall | traffic,car | blue | sedan | parked | red | green | black,street | alley | brick | building | sign | traffic light | street light | wall | traffic
34,0,car | cielo 2 | racing car | sports car | convertible | brick wall | building | alley | street | outdoor | urban | nighttime | black and white | vintage | logo | text,car | sports car | convertible | black and white | logo,brick wall | building | alley | street | outdoor | urban | nighttime | text
35,0,car | white | sedan | parked | driveway | house | tree | leaves | pine | red | orange | yellow | green | brown | autumn | season | fire hydrant | silver | metal | outdoor | residential | neighborhood,car | white | sedan | parked | red | orange | yellow | green | brown | silver | metal,driveway | house | tree | leaves | pine | autumn | season | fire hydrant | outdoor | residential | neighborhood
36,0,car | red | hatchback | parked | brick wall | white | street | alley | sidewalk | concrete | outdoor | urban | red car,car | red | hatchback | parked | white | red car,brick wall | street | alley | sidewalk | concrete | outdoor | urban
37,0,silver car | stop sign | road | snow | trees | fence | brick | stop | red | black | white | silver | car,silver car | red | black | white | silver | car,stop sign | road | snow | trees | fence | brick | stop
38,0,house | garage | car | red | convertible | white | windows | door | bush | grass | tree | leaves | sky | sunny | day | outdoor | residential | neighborhood | driveway | stairs | steps,car | red | convertible | white | windows | door,house | garage | bush | grass | tree | leaves | sky | sunny | day | outdoor | residential | neighborhood | driveway | stairs | steps
39,0,car | silver | suzuki | compact | snowy | road | street | traffic light | green | white | black | red | yellow | snow | trees | woods | forest | winter | cold | icy | snowy road | snowy street | snowy trees | snowy woods | snowy forest | winter road | winter street | winter trees | winter woods | winter forest | cold road | cold street | cold trees | cold woods | cold forest | icy road | icy street | icy trees | icy woods | icy forest | snowy car | silver car | suzuki car | compact car | snowy traffic light | green traffic light | white traffic light | black traffic light | red traffic light | yellow traffic light | snowy street light | snowy traffic light pole | snowy traffic light sign | snowy traffic light post | snowy traffic light box | snowy traffic light wires | snowy traffic light cables | snowy traffic,car | silver | compact | green | white | black | red | yellow | silver car,snowy | road | street | traffic light | snow | trees | woods | forest | winter | cold | icy | snowy road | snowy trees
40,0,dead end | car | house | brick | stone | driveway | street sign | yellow | black | bentley | dead end sign | road,car | yellow | black | bentley,house | brick | stone | driveway | street sign | road
41,0,car | orange | suv | volvo | garage | red door | white trim | red door frame | white door frame | white door | red,car | orange | suv | red,volvo | garage
42,0,audi | car | garage | house | palm tree | fire hydrant | grass | bush | driveway | brick | sidewalk | street | outdoor | residential | tropical | daytime,car,audi | garage | house | palm tree | fire hydrant | grass | bush | driveway | brick | sidewalk | street | outdoor | residential | daytime
43,0,car | suv | road | street | banana trees | palm trees | yellow traffic light | green leaves | bananas | palm fronds | road sign | yellow and black sign | green and yellow sign | banana bunch | palm tree trunk | banana tree trunk | banana tree,car | suv,road | street | palm trees | green leaves | road sign
44,0,stop sign | car | garage | red | white | blue | gray,car | red | white | blue | gray,stop sign | garage
45,0,car | silver | convertible | parked | garage | house | yellow | white | gray | bmw | license plate | 2014 | snow | driveway | street | residential | suburban | winter | daytime | sunny | outdoor | urban | home | garage door | house exterior | street light | lamp post | traffic light | pole | fence | gate | bush | tree,car | silver | convertible | parked | yellow | white | gray | bmw | license plate | 2014,garage | house | snow | driveway | street | residential | winter | daytime | sunny | outdoor | urban | home | garage door | house exterior | street light | lamp post | traffic light | pole | fence | gate | bush | tree
46,0,car | house | garage | door | window | brick | roof | tree | grass | flowers | bushes | potted plant | fence | driveway | garage door | house door | drive,car | door | window | roof,house | garage | brick | tree | grass | flowers | bushes | potted plant | fence | driveway | garage door | drive
47,0,stop sign | red | white | black | metal | outdoor | urban | residential | house | garage | door | car | mini cooper | gray | tire | wheel | grass,red | white | black | metal | door | car | mini cooper | gray | tire | wheel,stop sign | outdoor | urban | residential | house | garage | grass
48,0,gas pump | car | toy car | gas station | digital display | price | 135.95 | 35.95 | 55.95 | 75.95 | 95.95,car | toy car,gas pump | gas station
